dates,I,confirmed_by_pop
UID,84017031,
iso2,US,
iso3,USA,
code3,840,
FIPS,17031.0,
Admin2,Cook,
Province_State,Illinois,
Country_Region,US,
Lat,41.84144849,
Long_,-87.81658794,
Combined_Key,"Cook, Illinois, US",
Population,5150233,
2021-03-06,478498,9290.802959788422
2021-03-07,478884,9298.297766334066
2021-03-08,479361,9307.559483231147
2021-03-09,479913,9318.277444923366
2021-03-10,480487,9329.422571755491
2021-03-11,481101,9341.344362478358
2021-03-12,481787,9354.664148204556
2021-03-13,482424,9367.0325206646
2021-03-14,482973,9377.692232565012
2021-03-15,483282,9383.691961120981
2021-03-16,484146,9400.467901160977
2021-03-17,484719,9411.593611395834
2021-03-18,485771,9432.019871722308
2021-03-19,486730,9450.640388502812
2021-03-20,487602,9467.571661320953
2021-03-21,488249,9480.13419975368
2021-03-22,488793,9490.696828667751
2021-03-23,489484,9504.113697380293
2021-03-24,490661,9526.967032365332
2021-03-25,491512,9543.490556640836
2021-03-26,492837,9569.217548021614
2021-03-27,493968,9591.177719532301
2021-03-28,495050,9612.186477776831
2021-03-29,495858,9627.875088369789
2021-03-30,496856,9647.252852443764
2021-03-31,497885,9667.232531033062
2021-04-01,499429,9697.211757215644
2021-04-02,500914,9726.045404159384
2021-04-03,502207,9751.151064427571
2021-04-04,503169,9769.829830999879
2021-04-05,504203,9789.90659257552
2021-04-06,505380,9812.759927560559
2021-04-07,506828,9840.875160405365
2021-04-08,508426,9871.902882840446
2021-04-09,510006,9902.581106524694
2021-04-10,511626,9934.035994099684
2021-04-11,512773,9956.306831166668
2021-04-12,513888,9977.956337121059
2021-04-13,515075,10001.003838078783
2021-04-14,516399,10026.711412862292
2021-04-15,517808,10054.069398413625
2021-04-16,519374,10084.475789736114
2021-04-17,520642,10109.096035072587
2021-04-18,521694,10129.522295399063
2021-04-19,522552,10146.181735855445
2021-04-20,523598,10166.49149659831
2021-04-21,524592,10185.79159428321
2021-04-22,525854,10210.295340036073
2021-04-23,527102,10234.527253427175
2021-04-24,528337,10258.506751053787
2021-04-25,529165,10274.583693592114
2021-04-26,530003,10290.854802103127
2021-04-27,530975,10309.727734648122
2021-04-28,531906,10327.804586705106
2021-04-29,533297,10354.813073505606
2021-04-30,534462,10377.433409323423
2021-05-01,535614,10399.801329376749
2021-05-02,536384,10414.752109273502
2021-05-03,537224,10431.062050979053
2021-05-04,538095,10447.973907199927
2021-05-05,539005,10465.643010714273
2021-05-06,539645,10478.06963296612
2021-05-07,541017,10504.70920441852
2021-05-08,541692,10517.815407574764
2021-05-09,542450,10532.533188304296
2021-05-10,543111,10545.367559098782
2021-05-11,543658,10555.988437804659
2021-05-12,544279,10568.046144708405
2021-05-13,545041,10582.841591827011
2021-05-14,545785,10597.287540194784
2021-05-15,546360,10608.452083624177
2021-05-16,546908,10619.092378927322
2021-05-17,547345,10627.577431933662
2021-05-18,547922,10638.780808557593
2021-05-19,548542,10650.81909886407
2021-05-20,549205,10663.692302853095
2021-05-21,549886,10676.915005592951
2021-05-22,550396,10686.817470199892
2021-05-23,550840,10695.438439387111
2021-05-24,551311,10704.58365670058
2021-05-25,551609,10710.369802686597
2021-05-26,552055,10719.029605068354
2021-05-27,552466,10727.00982654571
2021-05-28,552901,10735.456046357514
2021-05-29,553191,10741.086859565383
2021-05-30,553474,10746.581756592372
2021-05-31,553716,10751.280573131351
2021-06-01,553926,10755.358058557738
2021-06-02,554124,10759.202544816904
2021-06-03,554390,10764.367359690328
2021-06-04,554604,10768.52251150579
2021-06-05,554813,10772.580580334909
2021-06-06,554962,10775.473653327917
2021-06-07,555060,10777.376479860231
2021-06-08,555195,10779.997720491481
2021-06-09,555344,10782.890793484488
2021-06-10,555488,10785.686783491155
2021-06-11,555646,10788.75460585958
2021-06-12,555734,10790.463266419209
2021-06-13,555850,10792.715591702356
2021-06-14,555902,10793.725254760318
2021-06-15,555976,10795.162082958188
2021-06-16,556107,10797.705657200364
2021-06-17,556179,10799.103652203696
2021-06-18,556201,10799.530817343604
2021-06-19,556201,10799.530817343604
2021-06-20,556201,10799.530817343604
2021-06-21,556429,10803.957801520824
2021-06-22,556487,10805.083964162399
2021-06-23,556556,10806.423709373925
2021-06-24,556629,10807.841120974526
2021-06-25,556715,10809.510948339619
2021-06-26,556715,10809.510948339619
2021-06-27,556715,10809.510948339619
2021-06-28,556885,10812.811769875267
2021-06-29,556951,10814.093265294987
2021-06-30,557001,10815.064095158414
2021-07-01,557124,10817.45233662244
2021-07-02,557173,10818.403749888597
2021-07-03,557173,10818.403749888597
2021-07-04,557173,10818.403749888597
2021-07-05,557173,10818.403749888597
2021-07-06,557498,10824.714144000864
2021-07-07,557590,10826.500470949566
2021-07-08,557740,10829.412960539843
2021-07-09,557922,10832.946781242712
2021-07-10,557922,10832.946781242712
2021-07-11,557922,10832.946781242712
2021-07-12,558286,10840.014422648452
2021-07-13,558394,10842.111415153451
2021-07-14,558563,10845.392820091829
2021-07-15,558781,10849.625638296364
2021-07-16,558928,10852.479878094835
2021-07-17,558928,10852.479878094835
2021-07-18,558928,10852.479878094835
2021-07-19,559767,10868.770403203118
2021-07-20,559884,10871.042145083533
2021-07-21,560155,10876.3040429433
2021-07-22,560675,10886.400673522927
2021-07-23,561168,10895.973055976303
2021-07-24,561168,10895.973055976303
2021-07-25,561168,10895.973055976303
2021-07-26,562216,10916.321649913703
2021-07-27,562540,10922.612627428702
2021-07-28,563084,10933.17525634277
2021-07-29,563452,10940.320564137584
2021-07-30,564091,10952.727769792164
2021-07-31,564091,10952.727769792164
2021-08-01,564091,10952.727769792164
2021-08-02,565780,10985.52240257868
2021-08-03,566466,10998.84218830488
2021-08-04,566985,11008.919402287236
2021-08-05,567872,11026.141924064406
2021-08-06,568822,11044.587691469493
2021-08-07,568822,11044.587691469493
2021-08-08,568822,11044.587691469493
2021-08-09,571012,11087.110039487534
2021-08-10,571693,11100.33274222739
2021-08-11,572726,11120.390087205764
2021-08-12,573445,11134.350620641824
2021-08-13,574316,11151.262476862697
2021-08-14,574316,11151.262476862697
2021-08-15,574316,11151.262476862697
2021-08-16,577187,11207.007527620595
2021-08-17,578015,11223.084470158923
2021-08-18,578907,11240.404074922435
2021-08-19,579716,11256.112102112662
2021-08-20,581027,11281.56726113168
2021-08-21,581027,11281.56726113168
2021-08-22,581027,11281.56726113168
2021-08-23,583679,11333.060077087774
2021-08-24,584459,11348.205022957214
2021-08-25,585612,11370.592359607808
2021-08-26,586687,11391.465201671459
2021-08-27,588099,11418.881437014597
2021-08-28,588099,11418.881437014597
2021-08-29,588099,11418.881437014597
2021-08-30,590825,11471.81108116856
2021-08-31,592050,11495.596412822488
2021-09-01,593219,11518.294415029379
2021-09-02,594250,11538.312926813214
2021-09-03,595861,11569.593065012787
2021-09-04,595861,11569.593065012787
2021-09-05,595861,11569.593065012787
2021-09-06,595861,11569.593065012787
2021-09-07,599101,11632.502840162766
2021-09-08,600122,11652.327185973916
2021-09-09,601238,11673.996108525576
2021-09-10,602648,11701.373510674177
2021-09-11,602648,11701.373510674177
2021-09-12,602648,11701.373510674177
2021-09-13,605061,11748.225759883097
2021-09-14,606266,11771.622759591653
2021-09-15,607266,11791.039356860165
2021-09-16,608383,11812.727696009093
2021-09-17,609376,11832.008377096725
2021-09-18,609376,11832.008377096725
2021-09-19,609376,11832.008377096725
2021-09-20,611852,11880.08387193356
2021-09-21,612610,11894.801652663093
2021-09-22,613549,11913.033837498226
2021-09-23,614487,11931.24660573609
2021-09-24,615436,11949.672956543907
2021-09-25,615436,11949.672956543907
2021-09-26,615436,11949.672956543907
2021-09-27,617360,11987.030489688525
2021-09-28,617846,11996.466955961021
2021-09-29,618610,12011.301236274165
2021-09-30,619576,12030.057669235548
2021-10-01,620602,12049.97909803304
2021-10-02,620602,12049.97909803304
2021-10-03,620602,12049.97909803304
2021-10-04,622884,12094.287772999785
2021-10-05,623750,12111.102546234317
2021-10-06,624557,12126.771740230006
2021-10-07,625647,12147.935831252684
2021-10-08,626475,12164.012773791012
2021-10-09,626475,12164.012773791012
2021-10-10,626475,12164.012773791012
2021-10-11,626475,12164.012773791012
