dates,I,confirmed_by_pop
UID,84036109,
iso2,US,
iso3,USA,
code3,840,
FIPS,36109.0,
Admin2,Tompkins,
Province_State,New York,
Country_Region,US,
Lat,42.44945765,
Long_,-76.47229843,
Combined_Key,"Tompkins, New York, US",
Population,102180,
2020-06-25,175,171.26639264043845
2020-06-26,175,171.26639264043845
2020-06-27,175,171.26639264043845
2020-06-28,176,172.24505774124094
2020-06-29,177,173.22372284204346
2020-06-30,177,173.22372284204346
2020-07-01,177,173.22372284204346
2020-07-02,178,174.20238794284595
2020-07-03,178,174.20238794284595
2020-07-04,178,174.20238794284595
2020-07-05,179,175.18105304364846
2020-07-06,179,175.18105304364846
2020-07-07,179,175.18105304364846
2020-07-08,180,176.15971814445098
2020-07-09,180,176.15971814445098
2020-07-10,181,177.13838324525346
2020-07-11,183,179.0957134468585
2020-07-12,186,182.031708749266
2020-07-13,186,182.031708749266
2020-07-14,186,182.031708749266
2020-07-15,198,193.77568995889607
2020-07-16,198,193.77568995889607
2020-07-17,198,193.77568995889607
2020-07-18,199,194.75435505969858
2020-07-19,208,203.5623409669211
2020-07-20,209,204.54100606772363
2020-07-21,209,204.54100606772363
2020-07-22,209,204.54100606772363
2020-07-23,213,208.45566647093364
2020-07-24,221,216.28498727735368
2020-07-25,223,218.2423174789587
2020-07-26,224,219.2209825797612
2020-07-27,225,220.19964768056371
2020-07-28,225,220.19964768056371
2020-07-29,225,220.19964768056371
2020-07-30,227,222.15697788216872
2020-07-31,228,223.13564298297123
2020-08-01,230,225.09297318457624
2020-08-02,230,225.09297318457624
2020-08-03,230,225.09297318457624
2020-08-04,230,225.09297318457624
2020-08-05,231,226.07163828537875
2020-08-06,232,227.05030338618124
2020-08-07,233,228.02896848698376
2020-08-08,234,229.00763358778627
2020-08-09,234,229.00763358778627
2020-08-10,234,229.00763358778627
2020-08-11,234,229.00763358778627
2020-08-12,234,229.00763358778627
2020-08-13,234,229.00763358778627
2020-08-14,236,230.96496378939128
2020-08-15,238,232.92229399099628
2020-08-16,238,232.92229399099628
2020-08-17,238,232.92229399099628
2020-08-18,238,232.92229399099628
2020-08-19,238,232.92229399099628
2020-08-20,240,234.87962419260128
2020-08-21,244,238.79428459581132
2020-08-22,244,238.79428459581132
2020-08-23,244,238.79428459581132
2020-08-24,244,238.79428459581132
2020-08-25,245,239.7729496966138
2020-08-26,248,242.70894499902133
2020-08-27,249,243.68761009982384
2020-08-28,251,245.64494030142885
2020-08-29,261,255.4315913094539
2020-08-30,264,258.36758661186144
2020-08-31,265,259.3462517126639
2020-09-01,270,264.2395772166765
2020-09-02,280,274.0262282247015
2020-09-03,303,296.5355255431591
2020-09-04,308,301.42885104717163
