FIPS,Admin2,Population,Death by 03/09/2023,deaths_by_pop
5123,St. Francis,24994,110,440.1056254
48407,San Jacinto,28859,110,381.1635885
20161,Riley,74232,110,148.1840716
5081,Little River,12259,109,889.1426707
29117,Livingston,15227,109,715.8337164
47075,Haywood,17304,109,629.912159
12041,Gilchrist,18582,109,586.5891723
13231,Pike,18962,109,574.8338783
40009,Beckham,21859,109,498.6504415
1007,Bibb,22394,109,486.737519
48331,Milam,24823,109,439.1088909
17109,McDonough,29682,109,367.2259282
26047,Emmet,33415,109,326.200808
51137,Orange,37051,109,294.1890907
37099,Jackson,43938,109,248.0768355
48353,Nolan,14714,108,733.9948349
48415,Scurry,16703,108,646.5904329
51175,Southampton,17631,108,612.5574273
12079,Madison,18493,108,584.0047586
55067,Langlade,19189,108,562.8224504
55125,Vilas,22195,108,486.5960802
13085,Dawson,26108,108,413.6663092
51053,Dinwiddie,28544,108,378.3632287
35055,Taos,32723,108,330.043089
26061,Houghton,35684,108,302.6566528
36077,Otsego,59493,108,181.533962
29165,Platte,104418,108,103.430443
28051,Holmes,17010,107,629.0417402
5121,Randolph,17958,107,595.8347255
20041,Dickinson,18466,107,579.4433012
12059,Holmes,19617,107,545.4452771
22083,Richland,20122,107,531.7562867
28101,Newton,21018,107,509.0874489
1025,Clarke,23622,107,452.9675726
26101,Manistee,24558,107,435.7032332
46029,Codington,28009,107,382.020065
30047,Lake,30458,107,351.3034342
20121,Miami,34237,107,312.5273827
13241,Rabun,17137,106,618.5446694
5107,Phillips,17782,106,596.1084242
47171,Unicoi,17883,106,592.74171
18117,Orange,19646,106,539.5500356
21231,Wayne,20333,106,521.3200216
48177,Gonzales,20837,106,508.710467
45011,Barnwell,20866,106,508.0034506
17051,Fayette,21336,106,496.8128984
39105,Meigs,22907,106,462.740647
17165,Saline,23491,106,451.2366438
54097,Upshur,24176,106,438.4513567
26127,Oceana,26467,106,400.4987343
18087,LaGrange,39614,106,267.5821679
44005,Newport,82082,106,129.1391535
28017,Chickasaw,17103,105,613.9273812
28159,Winston,17955,105,584.7953216
5027,Columbia,23457,105,447.6275739
41031,Jefferson,24658,105,425.82529
21035,Calloway,39001,105,269.2238661
5037,Cross,16419,104,633.4125099
42105,Potter,16526,104,629.3113881
21213,Simpson,18572,104,559.9827698
28025,Clay,19316,104,538.4137503
20059,Franklin,25544,104,407.1406201
8045,Garfield,60061,104,173.1572901
19169,Story,97117,104,107.0873277
30003,Big Horn,13319,103,773.3313312
51135,Nottoway,15232,103,676.2079832
48503,Young,18010,103,571.9044975
54005,Boone,21457,103,480.0298271
1005,Barbour,24686,103,417.2405412
5071,Johnson,26578,103,387.5385657
33009,Grafton,89886,103,114.5895913
47005,Benton,16160,102,631.1881188
29013,Bates,16172,102,630.7197626
35053,Socorro,16637,102,613.0913025
47023,Chester,17297,102,589.6976354
48299,Llano,21795,102,467.9972471
