dates,I,confirmed_by_pop
2021-07-05,90,12113.055181695827
2021-07-06,90,12113.055181695827
2021-07-07,90,12113.055181695827
2021-07-08,90,12113.055181695827
2021-07-09,90,12113.055181695827
2021-07-10,90,12113.055181695827
2021-07-11,90,12113.055181695827
2021-07-12,90,12113.055181695827
2021-07-13,90,12113.055181695827
2021-07-14,90,12113.055181695827
2021-07-15,90,12113.055181695827
2021-07-16,90,12113.055181695827
2021-07-17,90,12113.055181695827
2021-07-18,90,12113.055181695827
2021-07-19,90,12113.055181695827
2021-07-20,90,12113.055181695827
2021-07-21,90,12113.055181695827
2021-07-22,90,12113.055181695827
2021-07-23,91,12247.64468371467
2021-07-24,91,12247.64468371467
2021-07-25,91,12247.64468371467
2021-07-26,91,12247.64468371467
2021-07-27,91,12247.64468371467
2021-07-28,91,12247.64468371467
2021-07-29,91,12247.64468371467
2021-07-30,92,12382.234185733512
2021-07-31,92,12382.234185733512
2021-08-01,92,12382.234185733512
2021-08-02,92,12382.234185733512
2021-08-03,92,12382.234185733512
2021-08-04,92,12382.234185733512
2021-08-05,92,12382.234185733512
2021-08-06,92,12382.234185733512
2021-08-07,92,12382.234185733512
2021-08-08,93,12516.823687752356
2021-08-09,93,12516.823687752356
2021-08-10,94,12651.413189771198
2021-08-11,96,12920.592193808883
2021-08-12,97,13055.181695827725
2021-08-13,97,13055.181695827725
2021-08-14,97,13055.181695827725
2021-08-15,97,13055.181695827725
2021-08-16,97,13055.181695827725
2021-08-17,98,13189.771197846569
2021-08-18,102,13728.129205921938
2021-08-19,102,13728.129205921938
2021-08-20,102,13728.129205921938
2021-08-21,102,13728.129205921938
2021-08-22,102,13728.129205921938
2021-08-23,102,13728.129205921938
2021-08-24,102,13728.129205921938
2021-08-25,102,13728.129205921938
2021-08-26,102,13728.129205921938
2021-08-27,102,13728.129205921938
2021-08-28,103,13862.718707940781
2021-08-29,103,13862.718707940781
2021-08-30,103,13862.718707940781
2021-08-31,103,13862.718707940781
2021-09-01,104,13997.308209959623
2021-09-02,105,14131.897711978465
2021-09-03,105,14131.897711978465
2021-09-04,108,14535.666218034994
2021-09-05,108,14535.666218034994
2021-09-06,108,14535.666218034994
2021-09-07,108,14535.666218034994
2021-09-08,108,14535.666218034994
2021-09-09,108,14535.666218034994
2021-09-10,108,14535.666218034994
2021-09-11,110,14804.845222072678
2021-09-12,110,14804.845222072678
2021-09-13,110,14804.845222072678
2021-09-14,110,14804.845222072678
2021-09-15,110,14804.845222072678
2021-09-16,111,14939.434724091521
2021-09-17,111,14939.434724091521
2021-09-18,112,15074.024226110363
2021-09-19,112,15074.024226110363
2021-09-20,112,15074.024226110363
2021-09-21,112,15074.024226110363
2021-09-22,112,15074.024226110363
2021-09-23,112,15074.024226110363
2021-09-24,112,15074.024226110363
2021-09-25,112,15074.024226110363
2021-09-26,112,15074.024226110363
2021-09-27,112,15074.024226110363
2021-09-28,112,15074.024226110363
2021-09-29,113,15208.613728129207
2021-09-30,117,15746.971736204576
2021-10-01,117,15746.971736204576
2021-10-02,118,15881.56123822342
2021-10-03,118,15881.56123822342
2021-10-04,118,15881.56123822342
2021-10-05,120,16150.740242261103
2021-10-06,120,16150.740242261103
2021-10-07,120,16150.740242261103
2021-10-08,120,16150.740242261103
2021-10-09,120,16150.740242261103
2021-10-10,120,16150.740242261103
2021-10-11,120,16150.740242261103
2021-10-12,120,16150.740242261103
2021-10-13,120,16150.740242261103
2021-10-14,120,16150.740242261103
2021-10-15,120,16150.740242261103
2021-10-16,120,16150.740242261103
2021-10-17,120,16150.740242261103
2021-10-18,120,16150.740242261103
2021-10-19,120,16150.740242261103
2021-10-20,121,16285.329744279947
2021-10-21,121,16285.329744279947
2021-10-22,121,16285.329744279947
2021-10-23,121,16285.329744279947
2021-10-24,121,16285.329744279947
2021-10-25,121,16285.329744279947
2021-10-26,121,16285.329744279947
2021-10-27,121,16285.329744279947
2021-10-28,121,16285.329744279947
2021-10-29,121,16285.329744279947
2021-10-30,122,16419.91924629879
2021-10-31,122,16419.91924629879
2021-11-01,122,16419.91924629879
2021-11-02,122,16419.91924629879
2021-11-03,122,16419.91924629879
2021-11-04,122,16419.91924629879
2021-11-05,122,16419.91924629879
2021-11-06,122,16419.91924629879
2021-11-07,122,16419.91924629879
2021-11-08,122,16419.91924629879
2021-11-09,122,16419.91924629879
2021-11-10,122,16419.91924629879
