dates,I,confirmed_by_pop
UID,84053033,
iso2,US,
iso3,USA,
code3,840,
FIPS,53033.0,
Admin2,King,
Province_State,Washington,
Country_Region,US,
Lat,47.49137892,
Long_,-121.8346131,
Combined_Key,"King, Washington, US",
Population,2252782,
2021-01-29,77691,3448.669245404127
2021-01-30,78010,3462.829514795484
2021-01-31,78010,3462.829514795484
2021-02-01,78389,3479.653157740074
2021-02-02,78678,3492.4817403548145
2021-02-03,79061,3509.482941536287
2021-02-04,79340,3521.867628558822
2021-02-05,79631,3534.7849902920034
2021-02-06,79699,3537.803480319001
2021-02-07,79699,3537.803480319001
2021-02-08,80415,3569.5864047209184
2021-02-09,80594,3577.532135821398
2021-02-10,80796,3586.49882678395
2021-02-11,81082,3599.1942407210286
2021-02-12,81330,3610.202851407726
2021-02-13,81541,3619.569048403263
2021-02-14,81541,3619.569048403263
2021-02-15,81541,3619.569048403263
2021-02-16,82022,3640.92042638835
2021-02-17,82201,3648.8661574888292
2021-02-18,82402,3657.788458892161
2021-02-19,82615,3667.243435006139
2021-02-20,82835,3677.009138034661
2021-02-21,82835,3677.009138034661
2021-02-22,83071,3687.485074010712
2021-02-23,83195,3692.989379354061
2021-02-24,83357,3700.180487947791
2021-02-25,83611,3711.4554359898116
2021-02-26,83801,3719.889452241717
2021-02-27,84014,3729.3444283556955
2021-02-28,84014,3729.3444283556955
2021-03-01,84244,3739.554026976423
2021-03-02,84326,3743.1939708325085
2021-03-03,84488,3750.3850794262385
2021-03-04,84714,3760.417119810084
2021-03-05,84855,3766.676047660182
2021-03-06,85015,3773.7783771354707
2021-03-07,85015,3773.7783771354707
2021-03-08,85282,3785.630389447359
2021-03-09,85417,3791.622979942134
2021-03-10,85596,3799.568711042613
2021-03-11,85824,3809.6895305448998
2021-03-12,86002,3817.5908720861585
2021-03-13,86234,3827.889249825327
2021-03-14,86234,3827.889249825327
2021-03-15,86540,3841.472454946817
2021-03-16,86655,3846.577254257181
2021-03-17,86850,3855.233218305189
2021-03-18,87138,3868.0174113607086
2021-03-19,87393,3879.33674896195
2021-03-20,87626,3889.6795162603394
2021-03-21,87626,3889.6795162603394
2021-03-22,88021,3907.2133921524587
2021-03-23,88112,3911.252842041529
2021-03-24,88465,3926.922356446385
2021-03-25,88833,3943.257714239549
2021-03-26,89203,3959.6818511511547
2021-03-27,89636,3978.9025302936548
2021-03-28,89636,3978.9025302936548
2021-03-29,90125,4000.6090247525062
2021-03-30,90333,4009.8420530703816
2021-03-31,90692,4025.7779048305606
2021-04-01,91104,4044.0664032294294
2021-04-02,91508,4061.9997851545336
2021-04-03,91855,4077.4029622040657
2021-04-04,91855,4077.4029622040657
2021-04-05,92476,4104.96887848003
2021-04-06,92570,4109.141497046762
2021-04-07,93002,4128.317786630042
2021-04-08,93324,4142.611224699061
2021-04-09,93760,4161.965072519223
2021-04-10,94132,4178.477988549269
2021-04-11,94132,4178.477988549269
2021-04-12,94775,4207.020475128086
2021-04-13,95001,4217.052515511931
2021-04-14,95347,4232.411303002244
2021-04-15,95782,4251.720761263185
