dates,I,deaths_by_pop
UID,84005007,
iso2,US,
iso3,USA,
code3,840,
FIPS,5007.0,
Admin2,Benton,
Province_State,Arkansas,
Country_Region,US,
Lat,36.33644656,
Long_,-94.25680817,
Combined_Key,"Benton, Arkansas, US",
Population,279141,
2020-10-19,110,39.406608129941496
2020-10-20,112,40.123091914122256
2020-10-21,112,40.123091914122256
2020-10-22,114,40.83957569830301
2020-10-23,114,40.83957569830301
2020-10-24,116,41.55605948248376
2020-10-25,117,41.91430137457414
2020-10-26,118,42.27254326666452
2020-10-27,118,42.27254326666452
2020-10-28,119,42.6307851587549
2020-10-29,121,43.34726894293565
2020-10-30,120,42.98902705084527
2020-10-31,123,44.0637527271164
2020-11-01,125,44.78023651129716
2020-11-02,127,45.496720295477914
2020-11-03,127,45.496720295477914
2020-11-04,126,45.13847840338754
2020-11-05,127,45.496720295477914
2020-11-06,129,46.21320407965867
2020-11-07,129,46.21320407965867
2020-11-08,130,46.57144597174904
2020-11-09,133,47.64617164802018
2020-11-10,133,47.64617164802018
2020-11-11,133,47.64617164802018
2020-11-12,133,47.64617164802018
2020-11-13,133,47.64617164802018
2020-11-14,134,48.004413540110555
2020-11-15,135,48.36265543220093
2020-11-16,135,48.36265543220093
2020-11-17,135,48.36265543220093
2020-11-18,138,49.43738110847206
2020-11-19,140,50.15386489265282
2020-11-20,141,50.512106784743196
2020-11-21,142,50.87034867683357
2020-11-22,148,53.01980002937584
2020-11-23,150,53.73628381355659
2020-11-24,151,54.094525705646966
2020-11-25,153,54.81100948982772
2020-11-26,153,54.81100948982772
2020-11-27,153,54.81100948982772
2020-11-28,153,54.81100948982772
2020-11-29,158,56.60221895027961
2020-11-30,160,57.31870273446036
2020-12-01,160,57.31870273446036
2020-12-02,163,58.393428410731495
2020-12-03,164,58.75167030282187
2020-12-04,169,60.54287976327376
2020-12-05,172,61.61760543954489
2020-12-06,179,64.12529868417754
2020-12-07,185,66.2747500367198
2020-12-08,188,67.34947571299092
2020-12-09,190,68.06595949717168
2020-12-10,193,69.14068517344282
2020-12-11,200,71.64837841807545
2020-12-12,204,73.08134598643696
2020-12-13,209,74.87255544688885
2020-12-14,209,74.87255544688885
2020-12-15,212,75.94728112315998
2020-12-16,215,77.02200679943111
2020-12-17,219,78.45497436779262
2020-12-18,222,79.52970004406376
2020-12-19,224,80.24618382824451
2020-12-20,233,83.4703608570579
2020-12-21,238,85.2615703175098
2020-12-22,242,86.6945378858713
2020-12-23,245,87.76926356214243
2020-12-24,246,88.1275054542328
2020-12-25,248,88.84398923841356
2020-12-26,248,88.84398923841356
2020-12-27,253,90.63519869886545
2020-12-28,256,91.70992437513658
2020-12-29,260,93.14289194349809
2020-12-30,263,94.21761761976921
2020-12-31,264,94.5758595118596
2021-01-01,266,95.29234329604036
2021-01-02,268,96.00882708022111
2021-01-03,269,96.36706897231149
2021-01-04,275,98.51652032485374
