Dates,pcr_target_flowpop_lin,cumulative_death_JH,pcr_target_flowpop_lin_log10,cumulative_death_JH_log10
349,20767046.81,149,7.317374742,2.173186268
350,0,149,0,2.173186268
351,0,151,0,2.178976947
352,17434637.6,155,7.241412924,2.190331698
353,0,151,0,2.178976947
354,111502820.4,151,8.047285853,2.178976947
355,0,151,0,2.178976947
356,0,155,0,2.190331698
357,75353091.91,155,7.877101077,2.190331698
358,0,155,0,2.190331698
359,43063415.63,155,7.634108473,2.190331698
360,35295694.85,155,7.547721736,2.190331698
361,0,155,0,2.190331698
362,8804997.49,155,6.944729237,2.190331698
363,0,155,0,2.190331698
364,51536158.82,155,7.712112046,2.190331698
365,43768327.31,155,7.64115995,2.190331698
366,0,155,0,2.190331698
367,36025731.64,155,7.55661281,2.190331698
368,0,155,0,2.190331698
369,21026502.6,149,7.322767041,2.173186268
370,0,151,0,2.178976947
371,0,155,0,2.190331698
372,21030168.24,149,7.322842747,2.173186268
373,0,151,0,2.178976947
374,38687548.52,155,7.587571211,2.190331698
375,0,149,0,2.173186268
376,0,151,0,2.178976947
377,36553326.78,155,7.562926909,2.190331698
378,0,149,0,2.173186268
379,20156314.39,151,7.304411124,2.178976947
380,0,155,0,2.190331698
381,0,149,0,2.173186268
382,43253619.36,151,7.636022454,2.178976947
383,0,155,0,2.190331698
384,0,149,0,2.173186268
385,47827305.91,151,7.679675918,2.178976947
386,0,155,0,2.190331698
387,90784122.04,149,7.958009898,2.173186268
388,0,151,0,2.178976947
389,16585678.48,157,7.219733242,2.195899652
390,118963024.2,149,8.075411996,2.173186268
391,17506572.35,151,7.243201123,2.178976947
392,0,149,0,2.173186268
393,0,151,0,2.178976947
394,11510922.29,149,7.061110122,2.173186268
395,0,151,0,2.178976947
