,date,cc_data,,dates,I
sc_884,2021-05-09,8,,2021-05-09,26.42229069
sc_884,2021-05-10,7,,2021-05-10,25.36001586
sc_884,2021-05-11,37,,2021-05-11,24.39899198
sc_884,2021-05-12,0,,2021-05-12,23.49100936
sc_884,2021-05-13,6,,2021-05-13,22.63059779
sc_884,2021-05-14,9,,2021-05-14,21.84129784
sc_884,2021-05-15,8,,2021-05-15,21.14745897
sc_884,2021-05-16,9,,2021-05-16,20.56270765
sc_884,2021-05-17,6,,2021-05-17,20.0832112
sc_884,2021-05-18,17,,2021-05-18,19.68350757
sc_884,2021-05-19,6,,2021-05-19,19.31966983
sc_884,2021-05-20,5,,2021-05-20,18.93933184
sc_884,2021-05-21,5,,2021-05-21,18.49943522
sc_884,2021-05-22,0,,2021-05-22,17.99600674
sc_884,2021-05-23,0,,2021-05-23,17.47581747
sc_884,2021-05-24,16,,2021-05-24,16.94501682
sc_884,2021-05-25,6,,2021-05-25,16.409446
sc_884,2021-05-26,0,,2021-05-26,15.88495424
sc_884,2021-05-27,8,,2021-05-27,15.38708848
sc_884,2021-05-28,0,,2021-05-28,14.92477496
sc_884,2021-05-29,0,,2021-05-29,14.49675914
sc_884,2021-05-30,0,,2021-05-30,14.09353313
sc_884,2021-05-31,0,,2021-05-31,13.7016833
sc_884,2021-06-01,0,,2021-06-01,13.30982833
sc_884,2021-06-02,12,,2021-06-02,12.91756346
sc_884,2021-06-03,5,,2021-06-03,12.54050714
sc_884,2021-06-04,0,,2021-06-04,12.19311893
sc_884,2021-06-06,0,,2021-06-05,11.88392538
sc_884,2021-06-07,0,,2021-06-06,11.61516049
sc_884,2021-06-08,0,,2021-06-07,11.38245504
sc_884,2021-06-09,9,,2021-06-08,11.1747602
sc_884,2021-06-10,5,,2021-06-09,10.97502463
sc_884,2021-06-11,0,,2021-06-10,10.76355267
sc_884,2021-06-12,0,,2021-06-11,10.52295883
sc_884,2021-06-13,0,,2021-06-12,10.24627409
sc_884,2021-06-14,0,,2021-06-13,9.947988205
sc_884,2021-06-15,10,,2021-06-14,9.644947945
sc_884,2021-06-16,5,,2021-06-15,9.33589407
sc_884,2021-06-19,0,,2021-06-16,9.019190974
sc_884,2021-06-20,0,,2021-06-17,8.694257602
sc_884,2021-06-21,5,,2021-06-18,8.361660081
sc_884,2021-06-23,0,,2021-06-19,8.023060171
sc_884,2021-06-24,0,,2021-06-20,7.680902344
sc_884,2021-06-25,0,,2021-06-21,7.338167521
sc_884,2021-06-26,0,,2021-06-22,6.997627802
sc_884,2021-06-27,5,,2021-06-23,6.660428622
sc_884,2021-06-28,0,,2021-06-24,6.32057034
sc_884,2021-06-29,0,,2021-06-25,5.953206196
sc_884,2021-06-30,0,,2021-06-26,5.552074138
sc_884,2021-07-01,6,,2021-06-27,5.131557133
sc_884,2021-07-02,0,,2021-06-28,4.713484167
sc_884,2021-07-03,0,,2021-06-29,4.318817759
sc_884,2021-07-04,5,,2021-06-30,3.962722489
sc_884,2021-07-05,8,,2021-07-01,3.65183831
sc_884,2021-07-06,8,,2021-07-02,3.384929046
sc_884,2021-07-07,10,,2021-07-03,3.15454342
sc_884,2021-07-08,10,,2021-07-04,2.950052335
sc_884,2021-07-09,13,,2021-07-05,2.764802457
sc_884,2021-07-10,0,,2021-07-06,2.605726006
sc_884,2021-07-11,8,,2021-07-07,2.483557891
sc_884,2021-07-12,18,,2021-07-08,2.406163745
sc_884,2021-07-13,15,,2021-07-09,2.375772972
sc_884,2021-07-14,7,,2021-07-10,2.387227225
sc_884,2021-07-15,8,,2021-07-11,2.426586243
sc_884,2021-07-16,12,,2021-07-12,2.472504746
sc_884,2021-07-17,8,,2021-07-13,2.501091158
sc_884,2021-07-18,14,,2021-07-14,2.494182873
sc_884,2021-07-19,29,,2021-07-15,2.452845093
sc_884,2021-07-20,18,,2021-07-16,2.401450741
sc_884,2021-07-21,18,,2021-07-17,2.342896213
sc_884,2021-07-22,20,,2021-07-18,2.277667412
sc_884,2021-07-23,44,,2021-07-19,2.21056216
sc_884,2021-07-24,24,,2021-07-20,2.14721415
sc_884,2021-07-25,18,,2021-07-21,2.091913827
sc_884,2021-07-26,23,,2021-07-22,2.04616042
sc_884,2021-07-27,23,,2021-07-23,2.008758484
sc_884,2021-07-28,35,,2021-07-24,1.97700811
sc_884,2021-07-29,34,,2021-07-25,1.948043201
sc_884,2021-07-30,38,,2021-07-26,1.920775526
sc_884,2021-07-31,37,,2021-07-27,1.881393769
sc_884,2021-08-01,48,,2021-07-28,1.784300086
sc_884,2021-08-02,40,,2021-07-29,1.633900617
sc_884,2021-08-03,65,,2021-07-30,1.47050791
sc_884,2021-08-04,46,,2021-07-31,1.342120836
sc_884,2021-08-05,44,,2021-08-01,1.287111531
sc_884,2021-08-06,72,,2021-08-02,1.324331047
sc_884,2021-08-07,66,,2021-08-03,1.452911324
sc_884,2021-08-08,74,,2021-08-04,1.657759518
sc_884,2021-08-09,28,,2021-08-05,1.916961231
sc_884,2021-08-10,65,,2021-08-06,2.213211621
sc_884,2021-08-11,43,,2021-08-07,2.538656125
sc_884,2021-08-12,61,,2021-08-08,2.888159062
sc_884,2021-08-13,68,,2021-08-09,3.283147006
sc_884,2021-08-14,71,,2021-08-10,3.75408569
sc_884,2021-08-15,45,,2021-08-11,4.322549986
sc_884,2021-08-16,71,,2021-08-12,4.989827543
