dates,R_49049,,R_264,,,R_29019,,R_45045,,R_ca354,,R_co116,,R_oh102,,R_wi203
08/01/2022,0.941870826,,0.840166724,,,1.544206002,,0.908174183,,0.829079042,,0.721081597,,0.921574017,,1.280514626
09/01/2022,0.939504282,,0.81384034,,,1.521036457,,0.913398908,,0.818161131,,0.714034954,,0.937452921,,1.280469543
10/01/2022,0.940373423,,0.79328846,,,1.496539124,,0.919750289,,0.807949155,,0.708364876,,0.956436652,,1.277857526
11/01/2022,0.9444216,,0.777309885,,,1.47237669,,0.926674299,,0.79830079,,0.703396519,,0.977743822,,1.270279168
12/01/2022,0.951478769,,0.763930635,,,1.449205775,,0.933899916,,0.788848749,,0.698379675,,1.000169273,,1.256078301
13/01/2022,0.96122794,,0.751905271,,,1.426034408,,0.94153814,,0.779177062,,0.692841804,,1.022552676,,1.235056578
14/01/2022,0.973139113,,0.740576033,,,1.401347727,,0.949996198,,0.768897367,,0.686810573,,1.043992336,,1.208363308
15/01/2022,0.986478099,,0.729727349,,,1.374697189,,0.959733542,,0.75769623,,0.680873896,,1.064081422,,1.177974683
16/01/2022,1.000407441,,0.719013347,,,1.347265856,,0.970982892,,0.745458231,,0.676034552,,1.082970509,,1.145960333
17/01/2022,1.014111408,,0.707334411,,,1.321718382,,0.983666158,,0.732543621,,0.6734242,,1.101203461,,1.113680575
18/01/2022,1.026618113,,0.69353954,,,1.299851475,,0.99718356,,0.719799795,,0.674107483,,1.11928804,,1.081673483
19/01/2022,1.03670544,,0.677183715,,,1.28173349,,1.010572406,,0.708083438,,0.678474271,,1.137032097,,1.049857335
20/01/2022,1.043356319,,0.65877247,,,1.266168548,,1.022989707,,0.697894489,,0.685821456,,1.153382799,,1.017788332
21/01/2022,1.046241699,,0.63933801,,,1.251554568,,1.033671638,,0.689274595,,0.694551831,,1.166834063,,0.984895551
22/01/2022,1.045493188,,0.619583669,,,1.236449964,,1.042181979,,0.681703738,,0.702969866,,1.175920618,,0.950695205
23/01/2022,1.041389287,,0.599922578,,,1.219686897,,1.048669942,,0.674314399,,0.709293667,,1.179816725,,0.915129279
24/01/2022,1.034405415,,0.58158494,,,1.200120589,,1.053870032,,0.666390753,,0.712202699,,1.178726678,,0.87903144
25/01/2022,1.025261035,,0.565789842,,,1.177613162,,1.058844238,,0.657735086,,0.711544388,,1.173294323,,0.844090125
26/01/2022,1.014848101,,0.553020384,,,1.153596506,,1.064467811,,0.648840945,,0.70873259,,1.164457608,,0.812468961
27/01/2022,1.004025503,,0.543476559,,,1.129851678,,1.070905926,,0.640814094,,0.706598993,,1.153439876,,0.786087849
