county,county_population,covid_cases_per_100k
Effingham County,6291456.0,12924.94
El Dorado County,12341952.0,5429.8
El Paso County,99817024.0,13604.58
Elbert County,2919878.0,8124.89
Elk County,2076160.0,11528.039999999999
Elkhart County,13205824.0,3838.7799999999997
Elko County,3377792.0,2944.39
Elliott County,481088.0,13143.53
Ellis County,13903232.0,18279.11
Ellsworth County,390528.0,7964.63
Elmore County,6958080.0,20428.15
Emanuel County,1449344.0,4442.25
Emery County,640768.0,4744.32
Emmet County,2727872.0,8459.16
Emmons County,207424.0,3887.61
Emporia City,342144.0,11522.63
Erath County,2732672.0,3962.7
Erie County,80812544.0,21929.28
Escambia County,22716736.0,12759.789999999999
Esmeralda County,55872.0,4696.47
Essex County,105088640.0,37282.63
Estill County,902784.0,7344.42
Etowah County,6545152.0,5813.15
Eureka County,129856.0,1922.19
Evangeline Parish,2137280.0,6351.22
Evans County,681856.0,5913.34
Fairbanks North Star Borough,6198336.0,6680.51
Fairfax City,1537216.0,3572.14
Fairfax County,73442048.0,8064.45
Fairfield County,71888192.0,21064.63
Fajardo Muni,1885056.0,19674.77
Fall River County,429632.0,11112.78
Fallon County,182144.0,4497.56
Falls Church City,935488.0,11411.38
Falls County,1107008.0,4740.7
Fannin County,3948928.0,7350.21
Faribault County,873792.0,6386.92
Faulk County,147136.0,7481.530000000001
Faulkner County,8064448.0,7046.41
Fauquier County,4558208.0,5769.29
Fayette County,50217408.0,82415.37
Fentress County,1185472.0,8708.08
Fergus County,707200.0,5791.94
Ferry County,488128.0,6516.31
Fillmore County,1697856.0,12177.91
Finney County,2333888.0,5668.13
Fisher County,245120.0,3707.62
Flagler County,7365184.0,6201.7
Flathead County,6643584.0,7508.23
Fleming County,933184.0,6954.24
Florence County,9125632.0,13863.13
Florida Muni,724288.0,24768.07
Floyd County,15945979.0,46451.02
Fluvanna County,1745280.0,7928.12
Foard County,73920.0,4935.06
Fond du Lac County,6617792.0,8161.31
Ford County,2981120.0,15144.93
Forest County,1040064.0,13495.13
Forrest County,4793408.0,7399.48
Forsyth County,40099008.0,14761.2
Fort Bend County,51948032.0,9192.96
Foster County,205440.0,6729.0
Fountain County,1046144.0,7225.01
Franklin City,509888.0,5384.69
Franklin County,147608704.0,154173.5
Franklin Parish,1280960.0,8748.48
Frederick County,22327040.0,13371.94
Fredericksburg City,1858304.0,7370.13
Freeborn County,1937984.0,6185.37
Freestone County,1261888.0,2647.48
Fremont County,6858176.0,25898.24
Fresno County,63942464.0,8925.92
Frio County,1299584.0,6392.22
Frontier County,168128.0,4377.67
Fulton County,79791104.0,50402.840000000004
Furnas County,299264.0,6437.1
Gadsden County,2922240.0,9899.25
Gage County,1376832.0,6177.71
Gaines County,1375488.0,2949.9500000000003
Galax City,406208.0,17378.27
Gallatin County,8085950.0,23804.31
Gallatin County and Yellowstone National Park,114434.0,270.9
Gallia County,1913472.0,11214.78
Galveston County,21896896.0,7842.69
Garden County,117568.0,7457.85
Garfield County,8423680.0,29302.26
Garland County,6360704.0,4860.86
Garrard County,1130624.0,6413.43
Garrett County,1856896.0,6614.08
Garvin County,1773504.0,6946.7
Garza County,398656.0,5105.15
Gasconade County,941184.0,6031.6
Gaston County,14369856.0,8012.78
Gates County,739968.0,5751.63
Geary County,2026880.0,7893.91
Geauga County,5993536.0,5305.97
Gem County,1159168.0,4444.49
Genesee County,29637952.0,12804.34
Geneva County,1681344.0,7163.75
Gentry County,420544.0,9207.17
George County,1568000.0,6575.47
Georgetown County,4011520.0,6667.16
Gibson County,5298688.0,19452.03
Gila County,3457152.0,9189.53
Gilchrist County,1189248.0,6683.89
Giles County,2955776.0,17433.5
Gillespie County,1727232.0,4361.2
Gilliam County,122368.0,3085.7599999999998
Gilmer County,2508288.0,12149.56
Gilpin County,399552.0,3043.44
