dates,,R_gallax,,R_McMullen,,R_Robertson,,R_King,,R_SantaCruz,,R_Kauai
27/06/2020,177,1.033290727,,1.158021345,,1.192693923,,1.05255831,,1.123426828,,1.053052304
28/06/2020,178,1.032945264,,1.154910193,,1.189422072,,1.05236431,,1.121924315,,1.051897665
29/06/2020,179,1.032563894,,1.151874425,,1.186269076,,1.05213793,,1.120388351,,1.050703444
30/06/2020,180,1.032121248,,1.148912378,,1.183246641,,1.051878901,,1.118821243,,1.04947514
01/07/2020,181,1.031607869,,1.146022416,,1.180366416,,1.051587237,,1.117225113,,1.04821903
02/07/2020,182,1.031031046,,1.143202902,,1.177639315,,1.051263236,,1.115601967,,1.046942068
03/07/2020,183,1.030412714,,1.140452174,,1.175074889,,1.050907471,,1.113953891,,1.045651787
04/07/2020,184,1.029782709,,1.137768541,,1.172680835,,1.05052077,,1.112283134,,1.044356192
05/07/2020,185,1.029170414,,1.135150283,,1.170462806,,1.050104186,,1.110592228,,1.043063632
06/07/2020,186,1.028597926,,1.132595655,,1.168424424,,1.049658968,,1.10888408,,1.041782571
07/07/2020,187,1.028075904,,1.130102922,,1.166567345,,1.049186531,,1.107161985,,1.040521347
08/07/2020,188,1.027602064,,1.127670385,,1.16489133,,1.048688439,,1.105429603,,1.039287966
09/07/2020,189,1.027162357,,1.125296408,,1.163394379,,1.048166377,,1.103690971,,1.038089891
10/07/2020,190,1.026733757,,1.122979422,,1.162072885,,1.047622132,,1.101950363,,1.036933828
11/07/2020,191,1.026290831,,1.120717928,,1.160921827,,1.047057577,,1.100212124,,1.035825493
12/07/2020,192,1.025814035,,1.118510504,,1.159934842,,1.046474661,,1.098480448,,1.034769371
13/07/2020,193,1.02529365,,1.116355828,,1.159104287,,1.045875391,,1.096759197,,1.033768573
14/07/2020,194,1.024730506,,1.114252687,,1.158421483,,1.045261821,,1.095051837,,1.032824752
15/07/2020,195,1.024135047,,1.112199962,,1.157877049,,1.044636023,,1.093361452,,1.031938289
16/07/2020,196,1.023525245,,1.110196619,,1.15746121,,1.04400007,,1.091690678,,1.031108486
17/07/2020,197,1.02292383,,1.108241721,,1.157164039,,1.04335602,,1.0900417,,1.030333686
18/07/2020,198,1.022354596,,1.10633444,,1.156975602,,1.042705918,,1.088416301,,1.029611347
19/07/2020,199,1.021837696,,1.104474046,,1.156886071,,1.0420518,,1.086815929,,1.028938308
20/07/2020,200,1.021388113,,1.102659881,,1.156885776,,1.041395685,,1.085241812,,1.028311033
21/07/2020,201,1.021014785,,1.100891319,,1.156965176,,1.040739567,,1.083695008,,1.027725803
22/07/2020,202,1.020717547,,1.099167741,,1.157114888,,1.040085401,,1.082176392,,1.027178731
23/07/2020,203,1.020485426,,1.097488518,,1.15732567,,1.039435089,,1.080686645,,1.026665761
24/07/2020,204,1.020296992,,1.095852977,,1.157588379,,1.038790469,,1.079226247,,1.026182792
25/07/2020,205,1.020122495,,1.094260374,,1.157893902,,1.038153313,,1.077795461,,1.025725848
26/07/2020,206,1.019927586,,1.092709888,,1.158233238,,1.03752531,,1.076394306,,1.025291056
27/07/2020,207,1.019677968,,1.091200634,,1.158597598,,1.036908053,,1.075022544,,1.024874584
28/07/2020,208,1.019344745,,1.089731675,,1.158978496,,1.036303045,,1.073679738,,1.024472627
29/07/2020,209,1.018911608,,1.088302029,,1.159367767,,1.035711714,,1.072365322,,1.024081359
30/07/2020,210,1.018379559,,1.086910676,,1.159757618,,1.035135427,,1.071078679,,1.023696884
31/07/2020,211,1.017767241,,1.085556565,,1.16014076,,1.034575489,,1.069819197,,1.023315269
01/08/2020,212,1.017108259,,1.084238625,,1.160510555,,1.03403311,,1.068586314,,1.02293262
02/08/2020,213,1.01644443,,1.082955788,,1.160861081,,1.033509376,,1.067379575,,1.022545255
03/08/2020,214,1.015817519,,1.081706985,,1.161187226,,1.033005222,,1.066198631,,1.022149907
04/08/2020,215,1.01526206,,1.080491156,,1.161484706,,1.0325214,,1.065043216,,1.0217439
05/08/2020,216,1.014800371,,1.079307261,,1.161750054,,1.03205846,,1.063913092,,1.021325303
06/08/2020,217,1.014440021,,1.078154288,,1.161980537,,1.031616735,,1.062808001,,1.020893011
07/08/2020,218,1.014174496,,1.07703126,,1.162174028,,1.031196342,,1.061727636,,1.020446714
08/08/2020,219,1.013985512,,1.075937237,,1.162328857,,1.030797205,,1.060671623,,1.019986819
09/08/2020,220,1.013848464,,1.074871323,,1.16244374,,1.030419082,,1.059639484,,1.019514331
10/08/2020,221,1.013739268,,1.073832695,,1.16251766,,1.030061602,,1.058630615,,1.019030721
11/08/2020,222,1.013638598,,1.07282063,,1.162549724,,1.029724316,,1.057644294,,1.01853778
12/08/2020,223,1.013533691,,1.071834578,,1.162539069,,1.029406727,,1.056679685,,1.018037504
13/08/2020,224,1.013418757,,1.070874218,,1.162484809,,1.029108305,,1.055735851,,1.017532063
14/08/2020,225,1.01329448,,1.069939493,,1.162386014,,1.028828511,,1.054811797,,1.017023797
15/08/2020,226,1.013166849,,1.069030612,,1.162241681,,1.028566816,,1.053906525,,1.016515219
16/08/2020,227,1.013044996,,1.068148037,,1.162050795,,1.028322739,,1.05301908,,1.016009022
