Dates,JH_S,CDC_S,JH_CASE_S,JH,CDC,CDC_DEATHS,JH_DEATHS
119,1257,3982.99,71174,4.852321374,3.600209216,1.973127854,3.099335278
120,95,5851.2,7009,3.84565606,3.767244943,1.255272505,1.977723605
121,82,7827.66,6249,3.795810525,3.893631954,3.06069784,1.913813852
122,283,7263.57,10722,4.030275803,3.861150126,1.963787827,2.451786436
123,1002,5882.38,77394,4.888707293,3.769553076,1.838849091,3.000867722
124,203,6991.52,11277,4.05219358,3.844571604,1.681241237,2.307496038
125,57,6245.82,3595,3.555698895,3.795589464,1.477121255,1.755874856
126,14,10375.92,1194,3.077004327,4.016026615,1.278753601,1.146128036
127,123,4974.94,7284,3.862369937,3.696787847,1.556302501,2.089905111
128,65,6491.51,3126,3.494988974,3.81234573,2.691081492,1.812913357
129,92,6851.84,6412,3.806993514,3.835807213,1.544068044,1.963787827
130,101,5550,5146,3.711469782,3.744292983,1.77815125,2.004321374
131,148,6073.35,8055,3.906065545,3.78342831,2.891537458,2.170261715
132,42,6010.26,2677,3.427648371,3.77889326,1.278753601,1.62324929
133,105,7046.41,6794,3.832125543,3.847967909,1.982271233,2.021189299
134,84,4419.89,6606,3.819938569,3.645411461,1.69019608,1.924279286
135,388,4191.66,47352,4.675338327,3.622386048,1.612783857,2.588831726
136,295,4860.86,18657,4.270841812,3.686713113,1.62324929,2.469822016
137,246,5222.99,16702,4.222768479,3.717919194,2.525044807,2.390935107
138,104,9789.26,5745,3.759290033,3.990749863,1.505149978,2.017033339
139,41,5698.53,2071,3.316180099,3.755762839,1.431363764,1.612783857
140,44,6718.76,3656,3.563006187,3.827289128,2.484299839,1.643452676
141,84,7521.55,5638,3.751125072,3.876307347,1.770852012,1.924279286
142,358,6553.9,42997,4.633438155,3.816499811,0,2.553883027
143,82,6669.6,4488,3.652052848,3.824099788,1.491361694,1.913813852
144,99,8397.61,3108,3.49248101,3.924155701,1.230448921,1.995635195
145,581,6062.22,27083,4.43269677,3.782631693,1.230448921,2.764176132
146,65,6211.98,5252,3.720324717,3.793230049,1.69019608,1.812913357
147,201,4030.83,19801,4.296687124,3.605394482,1.653212514,2.303196057
148,83,9368.58,5638,3.751125072,3.97167377,1.806179974,1.919078092
149,161,5938.75,13058,4.115876664,3.773695043,1.113943352,2.206825876
150,64,5013.82,4657,3.668106238,3.700168738,1.556302501,1.806179974
151,231,5962.96,12797,4.10710817,3.775461896,1.69019608,2.36361198
152,78,5268.79,4712,3.673205282,3.721710889,1.892094603,1.892094603
153,76,6408.48,7280,3.862131379,3.806755033,0,1.880813592
154,316,6334.47,22364,4.349549484,3.801710284,1.361727836,2.499687083
