,date,cc_data,,dates,I
ca_354,2021-11-20,18,,2021-11-06,19.35583616
ca_354,2021-11-21,12,,2021-11-07,19.37337756
ca_354,2021-11-22,28,,2021-11-08,19.5239598
ca_354,2021-11-23,38,,2021-11-09,19.80479735
ca_354,2021-11-24,19,,2021-11-10,20.18743285
ca_354,2021-11-25,25,,2021-11-11,20.64289163
ca_354,2021-11-26,19,,2021-11-12,21.21695805
ca_354,2021-11-27,31,,2021-11-13,21.92778994
ca_354,2021-11-28,34,,2021-11-14,22.75607388
ca_354,2021-11-29,30,,2021-11-15,23.66343739
ca_354,2021-11-30,44,,2021-11-16,24.60275659
ca_354,2021-12-01,28,,2021-11-17,25.52159343
ca_354,2021-12-02,40,,2021-11-18,26.36483104
ca_354,2021-12-03,37,,2021-11-19,27.08237075
ca_354,2021-12-04,21,,2021-11-20,27.64164548
ca_354,2021-12-05,17,,2021-11-21,28.04820955
ca_354,2021-12-06,32,,2021-11-22,28.30070736
ca_354,2021-12-07,18,,2021-11-23,27.78841212
ca_354,2021-12-08,11,,2021-11-24,26.16240586
ca_354,2021-12-09,10,,2021-11-25,23.73929476
ca_354,2021-12-10,19,,2021-11-26,21.11983304
ca_354,2021-12-11,19,,2021-11-27,18.92758435
ca_354,2021-12-12,27,,2021-11-28,17.65818134
ca_354,2021-12-13,21,,2021-11-29,17.59104285
ca_354,2021-12-14,27,,2021-11-30,18.79868783
ca_354,2021-12-15,26,,2021-12-01,21.18227207
ca_354,2021-12-16,45,,2021-12-02,24.51477287
ca_354,2021-12-17,57,,2021-12-03,28.51256458
ca_354,2021-12-18,54,,2021-12-04,32.85258326
ca_354,2021-12-19,80,,2021-12-05,37.50780699
ca_354,2021-12-20,141,,2021-12-06,42.92806426
ca_354,2021-12-21,141,,2021-12-07,49.67052675
ca_354,2021-12-22,123,,2021-12-08,58.13268034
ca_354,2021-12-23,110,,2021-12-09,68.39690144
ca_354,2021-12-24,111,,2021-12-10,80.15392428
ca_354,2021-12-25,95,,2021-12-11,92.78862643
ca_354,2021-12-26,200,,2021-12-12,105.5459415
ca_354,2021-12-27,313,,2021-12-13,117.7959551
ca_354,2021-12-28,323,,2021-12-14,129.457793
ca_354,2021-12-29,371,,2021-12-15,141.8826921
ca_354,2021-12-30,379,,2021-12-16,157.4498308
ca_354,2021-12-31,273,,2021-12-17,176.5830905
ca_354,2022-01-01,123,,2021-12-18,198.2092954
ca_354,2022-01-02,224,,2021-12-19,220.6276212
ca_354,2022-01-03,349,,2021-12-20,242.0887256
ca_354,2022-01-04,332,,2021-12-21,261.1810869
ca_354,2022-01-05,335,,2021-12-22,277.0119535
ca_354,2022-01-06,346,,2021-12-23,289.2143964
ca_354,2022-01-07,292,,2021-12-24,297.9788993
ca_354,2022-01-08,209,,2021-12-25,304.1131149
ca_354,2022-01-09,182,,2021-12-26,308.9011352
ca_354,2022-01-10,375,,2021-12-27,312.8195439
ca_354,2022-01-11,366,,2021-12-28,315.3522029
ca_354,2022-01-12,343,,2021-12-29,315.6811299
ca_354,2022-01-13,251,,2021-12-30,313.1471866
ca_354,2022-01-14,266,,2021-12-31,307.5490314
ca_354,2022-01-15,154,,2022-01-01,299.3487472
ca_354,2022-01-16,159,,2022-01-02,289.6425542
ca_354,2022-01-17,214,,2022-01-03,279.8541234
ca_354,2022-01-18,229,,2022-01-04,271.2218566
ca_354,2022-01-19,238,,2022-01-05,263.984127
ca_354,2022-01-20,197,,2022-01-06,256.8825807
ca_354,2022-01-21,188,,2022-01-07,249.3226984
ca_354,2022-01-22,119,,2022-01-08,241.1624376
ca_354,2022-01-23,100,,2022-01-09,232.3373376
ca_354,2022-01-24,193,,2022-01-10,222.8703619
ca_354,2022-01-25,168,,2022-01-11,212.8804475
ca_354,2022-01-26,212,,2022-01-12,202.592753
ca_354,2022-01-27,103,,2022-01-13,192.3186255
ca_354,2022-01-28,108,,2022-01-14,182.3888444
ca_354,2022-01-29,55,,2022-01-15,173.0436636
ca_354,2022-01-30,55,,2022-01-16,164.2615775
ca_354,2022-01-31,115,,2022-01-17,155.5758115
ca_354,2022-02-01,68,,2022-01-18,146.4707478
ca_354,2022-02-02,99,,2022-01-19,136.907918
ca_354,2022-02-03,87,,2022-01-20,127.1475847
ca_354,2022-02-04,73,,2022-01-21,117.5446537
ca_354,2022-02-05,38,,2022-01-22,108.4200213
ca_354,2022-02-06,42,,2022-01-23,99.98329072
ca_354,2022-02-07,74,,2022-01-24,92.28886719
ca_354,2022-02-08,56,,2022-01-25,85.26025426
ca_354,2022-02-09,59,,2022-01-26,78.73471799
ca_354,2022-02-10,40,,2022-01-27,72.53570316
ca_354,2022-02-11,32,,2022-01-28,66.568147
ca_354,2022-02-12,15,,2022-01-29,60.68794131
ca_354,2022-02-13,34,,2022-01-30,54.89591433
ca_354,2022-02-14,39,,2022-01-31,49.42602721
ca_354,2022-02-15,29,,2022-02-01,44.559774
ca_354,2022-02-16,36,,2022-02-02,40.50097425
ca_354,2022-02-17,26,,2022-02-03,37.29807402
ca_354,2022-02-18,20,,2022-02-04,34.80134621
ca_354,2022-02-19,15,,2022-02-05,32.70864579
ca_354,2022-02-20,9,,2022-02-06,30.65477907
ca_354,2022-02-21,9,,2022-02-07,28.36058917
ca_354,2022-02-22,15,,2022-02-08,25.8627256
ca_354,2022-02-23,14,,2022-02-09,23.42908162
ca_354,2022-02-24,10,,2022-02-10,21.08999333
ca_354,2022-02-25,10,,2022-02-11,18.94933657
ca_354,2022-02-26,18,,2022-02-12,17.1446674
ca_354,2022-02-27,8,,2022-02-13,15.77705145
