,date,cc_data,,dates,I
co_116,2020-09-22,10,,2020-07-31,9.564187481
co_116,2020-09-23,12,,2020-08-01,9.614730919
co_116,2020-09-24,22,,2020-08-02,9.835156168
co_116,2020-09-25,14,,2020-08-03,10.20367929
co_116,2020-09-26,0,,2020-08-04,10.68638593
co_116,2020-09-27,12,,2020-08-05,11.25036468
co_116,2020-09-28,24,,2020-08-06,11.86919531
co_116,2020-09-29,48,,2020-08-07,12.51609095
co_116,2020-09-30,10,,2020-08-08,13.22514187
co_116,2020-10-01,58,,2020-08-09,14.06387041
co_116,2020-10-02,18,,2020-08-10,15.0972158
co_116,2020-10-03,37,,2020-08-11,16.36375307
co_116,2020-10-04,28,,2020-08-12,17.86073233
co_116,2020-10-05,22,,2020-08-13,19.54013369
co_116,2020-10-06,60,,2020-08-14,21.32259161
co_116,2020-10-07,38,,2020-08-15,23.11777879
co_116,2020-10-08,84,,2020-08-16,24.85560633
co_116,2020-10-09,63,,2020-08-17,26.53179242
co_116,2020-10-10,95,,2020-08-18,28.26060789
co_116,2020-10-11,16,,2020-08-19,30.18231479
co_116,2020-10-12,43,,2020-08-20,32.33738008
co_116,2020-10-13,46,,2020-08-21,34.69388337
co_116,2020-10-14,58,,2020-08-22,37.18020329
co_116,2020-10-15,51,,2020-08-23,39.70718397
co_116,2020-10-16,56,,2020-08-24,42.18142328
co_116,2020-10-17,51,,2020-08-25,44.51601579
co_116,2020-10-18,66,,2020-08-26,46.64119534
co_116,2020-10-19,44,,2020-08-27,48.51387946
co_116,2020-10-20,52,,2020-08-28,50.13142591
co_116,2020-10-21,60,,2020-08-29,51.54919856
co_116,2020-10-22,53,,2020-08-30,52.8496541
co_116,2020-10-23,49,,2020-08-31,53.70523491
co_116,2020-10-24,33,,2020-09-01,53.7740191
co_116,2020-10-25,73,,2020-09-02,53.12470221
co_116,2020-10-26,122,,2020-09-03,52.06040028
co_116,2020-10-27,46,,2020-09-04,50.97091432
co_116,2020-10-28,58,,2020-09-05,50.23266803
co_116,2020-10-29,86,,2020-09-06,50.1368832
co_116,2020-10-30,57,,2020-09-07,50.85383025
co_116,2020-10-31,118,,2020-09-08,52.43545877
co_116,2020-11-01,90,,2020-09-09,54.82107363
co_116,2020-11-02,134,,2020-09-10,57.84944748
co_116,2020-11-03,122,,2020-09-11,61.29728888
co_116,2020-11-04,212,,2020-09-12,65.06946781
co_116,2020-11-05,170,,2020-09-13,69.23163294
co_116,2020-11-06,195,,2020-09-14,73.94825455
co_116,2020-11-07,121,,2020-09-15,79.3914275
co_116,2020-11-08,239,,2020-09-16,85.66650182
co_116,2020-11-09,154,,2020-09-17,92.76489823
co_116,2020-11-10,170,,2020-09-18,100.5327403
co_116,2020-11-11,316,,2020-09-19,108.6762123
co_116,2020-11-12,358,,2020-09-20,116.8242781
co_116,2020-11-13,331,,2020-09-21,124.6128888
co_116,2020-11-14,189,,2020-09-22,131.8151292
co_116,2020-11-15,183,,2020-09-23,138.5283446
co_116,2020-11-16,203,,2020-09-24,145.2902922
co_116,2020-11-17,274,,2020-09-25,152.589764
co_116,2020-11-18,266,,2020-09-26,160.5065427
co_116,2020-11-19,381,,2020-09-27,168.8474391
co_116,2020-11-20,321,,2020-09-28,177.2993911
co_116,2020-11-21,221,,2020-09-29,185.5352001
co_116,2020-11-22,222,,2020-09-30,193.2812316
co_116,2020-11-23,156,,2020-10-01,200.3669108
co_116,2020-11-24,225,,2020-10-02,206.7284009
co_116,2020-11-25,331,,2020-10-03,212.3949369
co_116,2020-11-26,262,,2020-10-04,217.4708779
co_116,2020-11-27,181,,2020-10-05,222.1065441
co_116,2020-11-28,196,,2020-10-06,226.4871422
co_116,2020-11-29,254,,2020-10-07,231.1126358
co_116,2020-11-30,317,,2020-10-08,236.1564851
co_116,2020-12-01,185,,2020-10-09,241.2760222
co_116,2020-12-02,336,,2020-10-10,245.9255631
co_116,2020-12-03,302,,2020-10-11,249.5861034
co_116,2020-12-04,193,,2020-10-12,251.9195346
co_116,2020-12-05,148,,2020-10-13,252.8792206
co_116,2020-12-06,202,,2020-10-14,252.7006151
co_116,2020-12-07,251,,2020-10-15,251.7946183
co_116,2020-12-08,196,,2020-10-16,250.5898937
co_116,2020-12-09,241,,2020-10-17,249.3007149
co_116,2020-12-10,166,,2020-10-18,247.7227844
co_116,2020-12-11,233,,2020-10-19,245.8211198
co_116,2020-12-12,167,,2020-10-20,243.7502567
co_116,2020-12-13,120,,2020-10-21,241.2805556
co_116,2020-12-14,78,,2020-10-22,237.9871468
co_116,2020-12-15,54,,2020-10-23,233.4763803
co_116,2020-12-16,38,,2020-10-24,227.5373071
co_116,2020-12-17,36,,2020-10-25,220.2387208
