Dates,Galax,McMullen,Robertson,King,SantaCruz,Kauai
117,-0.015809876,-0.024176654,-0.013540745,-0.017090941,-0.013600424,-0.01692298
118,-0.015932968,-0.024792846,-0.014027426,-0.017397759,-0.013922571,-0.017262821
119,-0.016119989,-0.025499293,-0.014509778,-0.017732865,-0.01425302,-0.017620671
120,-0.016359909,-0.026282218,-0.014989856,-0.018106034,-0.014604071,-0.018009756
121,-0.016643033,-0.027131876,-0.015468285,-0.018521957,-0.014981943,-0.018437578
122,-0.016962314,-0.02804214,-0.015945393,-0.018982483,-0.015388368,-0.018907982
123,-0.017312445,-0.02901024,-0.016421471,-0.019487662,-0.015822878,-0.019423163
124,-0.017689283,-0.030036871,-0.016897403,-0.020037154,-0.016284749,-0.019984034
125,-0.018089803,-0.031123331,-0.017375323,-0.020630868,-0.016773836,-0.020590839
126,-0.018512129,-0.032272519,-0.01785938,-0.021268852,-0.01728996,-0.021243615
127,-0.01895519,-0.033489852,-0.018350018,-0.02195164,-0.017833318,-0.021942358
128,-0.019420587,-0.034781282,-0.018847285,-0.022680388,-0.018404458,-0.022687359
129,-0.019910899,-0.03615522,-0.019352005,-0.023456711,-0.019004153,-0.023479575
130,-0.020428011,-0.03762224,-0.01986389,-0.024282635,-0.019633621,-0.024320502
131,-0.020973383,-0.039195302,-0.020385154,-0.025160598,-0.020294433,-0.025212232
132,-0.021548801,-0.040887851,-0.020919575,-0.026093477,-0.020988281,-0.026157436
133,-0.022156202,-0.04271921,-0.021469489,-0.027084704,-0.02171691,-0.027159526
134,-0.022798187,-0.044710615,-0.022036767,-0.028138302,-0.022482086,-0.028222443
135,-0.023478155,-0.046883504,-0.02262273,-0.029258991,-0.023285894,-0.029350843
136,-0.024201073,-0.049263845,-0.023228268,-0.030452312,-0.024130714,-0.030550326
137,-0.024972046,-0.051885865,-0.023855144,-0.031724628,-0.025019201,-0.031827308
138,-0.0257941,-0.054788516,-0.024505688,-0.033083448,-0.025954308,-0.033189107
139,-0.026669553,-0.058019019,-0.025183194,-0.03453796,-0.026939341,-0.03464521
140,-0.027601524,-0.061636424,-0.025889647,-0.036098889,-0.027978097,-0.036209158
141,-0.028590621,-0.065715417,-0.026627755,-0.037778692,-0.029075104,-0.037894278
142,-0.029628164,-0.070351726,-0.027401294,-0.03959187,-0.030235611,-0.039715371
143,-0.030712368,-0.075669978,-0.028213552,-0.041555477,-0.031465831,-0.041689915
144,-0.031847625,-0.081835385,-0.029067963,-0.043689753,-0.032772944,-0.043838836
145,-0.033040358,-0.089071615,-0.029969137,-0.046018903,-0.034164978,-0.046187119
146,-0.034297378,-0.097689054,-0.030921911,-0.048572156,-0.035651193,-0.048764899
147,-0.035624758,-0.108131229,-0.031931022,-0.051385123,-0.037242778,-0.051608844
148,-0.037029784,-0.121054656,-0.033001819,-0.054501732,-0.038952884,-0.054764022
149,-0.03852088,-0.137474004,-0.034142089,-0.057976598,-0.040797058,-0.058286282
150,-0.04010865,-0.159044736,-0.035359041,-0.06187837,-0.042794825,-0.062246021
151,-0.041805712,-0.188663591,-0.036661061,-0.066294514,-0.044969244,-0.06673337
152,-0.043627296,-0.231900088,-0.038058007,-0.071337991,-0.047347315,-0.071865403
153,-0.045591299,-0.301003026,-0.039563503,-0.077157189,-0.04996077,-0.077796505
154,-0.047719493,-0.429204064,-0.041193756,-0.083951413,-0.052848238,-0.08473433
155,-0.050041127,-0.749301786,-0.042966396,-0.091994551,-0.056057286,-0.092964586
156,-0.052590535,-2.977932722,-0.044901546,-0.10167295,-0.059646941,-0.102892126
157,-0.055407883,1.499941193,-0.047021541,-0.11354987,-0.063691508,-0.115110573
158,-0.0585415,0.597701887,-0.049352989,-0.128480056,-0.068286115,-0.130526409
159,-0.062050865,0.372655109,-0.051928696,-0.147830679,-0.073554915,-0.15059707
160,-0.066009569,0.27043693,-0.054787587,-0.173923303,-0.079662484,-0.177821946
161,-0.07051206,0.212053347,-0.057977966,-0.211046115,-0.086830902,-0.216876825
