,date,cc_data
ut_17,2021-09-26,22
ut_17,2021-10-09,22
ut_17,2021-10-31,22
ut_17,2021-11-27,22
ut_17,2021-12-18,22
ut_17,2022-06-05,22
ut_17,2022-06-16,22
ut_17,2022-06-18,22
ut_17,2022-07-20,22
ut_17,2022-08-05,22
ut_17,2022-11-07,22
ut_17,2022-02-15,23
ut_17,2022-05-16,23
ut_17,2022-05-28,23
ut_17,2021-02-19,24
ut_17,2021-09-05,24
ut_17,2022-02-18,24
ut_17,2022-05-13,24
ut_17,2022-07-16,24
ut_17,2022-07-19,24
ut_17,2022-11-21,24
ut_17,2022-11-22,24
ut_17,2021-02-18,25
ut_17,2021-03-09,25
ut_17,2021-07-08,25
ut_17,2021-11-21,25
ut_17,2021-12-05,25
ut_17,2022-05-27,25
ut_17,2022-06-10,25
ut_17,2022-07-29,25
ut_17,2021-01-30,26
ut_17,2021-07-19,26
ut_17,2021-12-25,26
ut_17,2022-05-26,26
ut_17,2022-07-02,26
ut_17,2022-07-08,26
ut_17,2022-07-09,26
ut_17,2022-07-22,26
ut_17,2021-04-20,27
ut_17,2021-07-13,27
ut_17,2021-07-14,27
ut_17,2021-07-22,27
ut_17,2021-08-28,27
ut_17,2021-08-29,27
ut_17,2021-09-23,27
ut_17,2021-10-23,27
ut_17,2022-06-15,27
ut_17,2022-11-28,27
ut_17,2021-03-08,28
ut_17,2021-07-12,28
ut_17,2021-07-23,28
ut_17,2021-07-28,28
ut_17,2021-09-18,28
ut_17,2021-10-02,28
ut_17,2021-12-13,28
ut_17,2022-06-04,28
ut_17,2022-07-25,28
ut_17,2022-08-01,28
ut_17,2021-02-15,29
ut_17,2021-09-06,29
ut_17,2021-10-10,29
ut_17,2021-10-16,29
ut_17,2021-12-15,29
ut_17,2021-12-16,29
ut_17,2021-12-17,29
ut_17,2022-02-12,29
ut_17,2021-02-17,30
ut_17,2021-07-29,30
ut_17,2021-10-30,30
ut_17,2021-11-07,30
ut_17,2022-06-09,30
ut_17,2022-06-13,30
ut_17,2022-06-23,30
ut_17,2021-01-29,31
ut_17,2021-08-12,31
ut_17,2021-12-09,31
ut_17,2022-06-08,31
ut_17,2022-06-17,31
ut_17,2022-07-06,31
ut_17,2022-07-15,31
ut_17,2021-02-06,32
ut_17,2021-07-07,32
ut_17,2021-07-21,32
ut_17,2021-08-17,32
ut_17,2021-10-17,32
ut_17,2021-12-14,32
ut_17,2021-02-03,33
