,date,cc_data,,dates,I
oh_102,18/06/2021,0,,25/05/2021,
oh_102,19/06/2021,0,,26/05/2021,
oh_102,21/06/2021,0,,27/05/2021,
oh_102,25/06/2021,0,,28/05/2021,
oh_102,29/06/2021,0,,29/05/2021,
oh_102,03/07/2021,0,,30/05/2021,
oh_102,05/07/2021,0,,31/05/2021,
oh_102,07/07/2021,0,,01/06/2021,
oh_102,09/07/2021,0,,02/06/2021,
oh_102,11/07/2021,0,,03/06/2021,
oh_102,13/07/2021,0,,04/06/2021,
oh_102,15/07/2021,0,,05/06/2021,
oh_102,16/07/2021,0,,06/06/2021,
oh_102,17/07/2021,5,,07/06/2021,
oh_102,19/07/2021,0,,08/06/2021,
oh_102,21/07/2021,0,,09/06/2021,
oh_102,22/07/2021,0,,10/06/2021,
oh_102,23/07/2021,0,,11/06/2021,
oh_102,24/07/2021,0,,12/06/2021,
oh_102,25/07/2021,0,,13/06/2021,
oh_102,26/07/2021,0,,14/06/2021,
oh_102,27/07/2021,0,,15/06/2021,
oh_102,28/07/2021,5,,16/06/2021,
oh_102,29/07/2021,0,,17/06/2021,
oh_102,30/07/2021,6,,18/06/2021,
oh_102,31/07/2021,0,,19/06/2021,
oh_102,03/08/2021,0,,20/06/2021,
oh_102,04/08/2021,6,,21/06/2021,
oh_102,05/08/2021,30,,22/06/2021,
oh_102,06/08/2021,0,,23/06/2021,
oh_102,07/08/2021,0,,24/06/2021,
oh_102,08/08/2021,0,,25/06/2021,
oh_102,09/08/2021,0,,26/06/2021,
oh_102,10/08/2021,11,,27/06/2021,
oh_102,11/08/2021,6,,28/06/2021,
oh_102,12/08/2021,12,,29/06/2021,
oh_102,13/08/2021,6,,30/06/2021,
oh_102,14/08/2021,11,,01/07/2021,
oh_102,15/08/2021,0,,02/07/2021,
oh_102,16/08/2021,38,,03/07/2021,
oh_102,17/08/2021,9,,04/07/2021,
oh_102,18/08/2021,20,,05/07/2021,
oh_102,19/08/2021,11,,06/07/2021,
