dates,I,deaths_by_pop
UID,84036047,
iso2,US,
iso3,USA,
code3,840,
FIPS,36047.0,
Admin2,Kings,
Province_State,New York,
Country_Region,US,
Lat,40.6361825,
Long_,-73.94935552,
Combined_Key,"Kings, New York, US",
Population,2559903,
2020-06-07,7012,273.91662887226585
2020-06-08,7025,274.424460614328
2020-06-09,7032,274.69790847543834
2020-06-10,7046,275.24480419765905
2020-06-11,7050,275.40106011829357
2020-06-12,7058,275.71357195956256
2020-06-13,7064,275.9479558405143
2020-06-14,7076,276.41672360241773
2020-06-15,7081,276.6120435032109
2020-06-16,7086,276.807363404004
2020-06-17,7095,277.1589392254316
2020-06-18,7100,277.3542591262247
2020-06-19,7106,277.5886430071765
2020-06-20,7112,277.8230268881282
2020-06-21,7120,278.1355387293972
2020-06-22,7126,278.3699226103489
2020-06-23,7135,278.7214984317765
2020-06-24,7140,278.9168183325696
2020-06-25,7144,279.07307425320414
2020-06-26,7147,279.19026619368
2020-06-27,7158,279.61996997542485
2020-06-28,7160,279.6980979357421
2020-06-29,7165,279.8934178365352
2020-06-30,7120,278.1355387293972
2020-07-01,7126,278.3699226103489
2020-07-02,7129,278.4871145508248
2020-07-03,7137,278.7996263920938
2020-07-04,7143,279.0340102730455
2020-07-05,7147,279.19026619368
2020-07-06,7151,279.3465221143145
2020-07-07,7156,279.5418420151076
2020-07-08,7163,279.81528987621795
2020-07-09,7169,280.0496737571697
2020-07-10,7173,280.2059296778042
2020-07-11,7176,280.3231216182801
2020-07-12,7180,280.47937753891455
2020-07-13,7182,280.5575054992318
2020-07-14,7186,280.7137614198663
2020-07-15,7190,280.8700173405008
2020-07-16,7193,280.9872092809767
2020-07-17,7195,281.0653372412939
2020-07-18,7201,281.29972112224567
2020-07-19,7205,281.45597704288014
2020-07-20,7209,281.61223296351466
2020-07-21,7213,281.7684888841491
2020-07-22,7214,281.80755286430775
2020-07-23,7221,282.0810007254181
2020-07-24,7223,282.15912868573537
2020-07-25,7226,282.2763206262112
2020-07-26,7229,282.3935125666871
2020-07-27,7231,282.47164052700435
2020-07-28,7232,282.510704507163
2020-07-29,7233,282.5497684873216
2020-07-30,7235,282.6278964476388
2020-07-31,7237,282.7060244079561
2020-08-01,7240,282.82321634843197
2020-08-02,7242,282.9013443087492
2020-08-03,7242,282.9013443087492
2020-08-04,7244,282.97947226906643
2020-08-05,7244,282.97947226906643
2020-08-06,7250,283.21385615001816
2020-08-07,7247,283.0966642095423
2020-08-08,7250,283.21385615001816
2020-08-09,7250,283.21385615001816
2020-08-10,7252,283.2919841103354
2020-08-11,7253,283.33104809049405
2020-08-12,7253,283.33104809049405
2020-08-13,7255,283.4091760508113
2020-08-14,7256,283.44824003096994
