dates,I,deaths_by_pop
UID,84036119,
iso2,US,
iso3,USA,
code3,840,
FIPS,36119.0,
Admin2,Westchester,
Province_State,New York,
Country_Region,US,
Lat,41.16278376,
Long_,-73.75741653,
Combined_Key,"Westchester, New York, US",
Population,967506,
2020-07-01,1425,147.28590830444463
2020-07-02,1426,147.3892668365881
2020-07-03,1426,147.3892668365881
2020-07-04,1426,147.3892668365881
2020-07-05,1427,147.49262536873155
2020-07-06,1427,147.49262536873155
2020-07-07,1430,147.80270096516196
2020-07-08,1431,147.90605949730545
2020-07-09,1432,148.0094180294489
2020-07-10,1433,148.11277656159237
2020-07-11,1433,148.11277656159237
2020-07-12,1435,148.31949362587932
2020-07-13,1435,148.31949362587932
2020-07-14,1435,148.31949362587932
2020-07-15,1436,148.4228521580228
2020-07-16,1436,148.4228521580228
2020-07-17,1436,148.4228521580228
2020-07-18,1437,148.52621069016627
2020-07-19,1440,148.83628628659667
2020-07-20,1440,148.83628628659667
2020-07-21,1440,148.83628628659667
2020-07-22,1442,149.04300335088362
2020-07-23,1443,149.14636188302708
2020-07-24,1443,149.14636188302708
2020-07-25,1443,149.14636188302708
2020-07-26,1443,149.14636188302708
2020-07-27,1443,149.14636188302708
2020-07-28,1443,149.14636188302708
2020-07-29,1443,149.14636188302708
2020-07-30,1445,149.35307894731403
2020-07-31,1445,149.35307894731403
2020-08-01,1445,149.35307894731403
2020-08-02,1446,149.4564374794575
2020-08-03,1446,149.4564374794575
2020-08-04,1446,149.4564374794575
2020-08-05,1446,149.4564374794575
2020-08-06,1447,149.55979601160095
2020-08-07,1447,149.55979601160095
2020-08-08,1447,149.55979601160095
2020-08-09,1447,149.55979601160095
2020-08-10,1447,149.55979601160095
2020-08-11,1447,149.55979601160095
2020-08-12,1447,149.55979601160095
2020-08-13,1447,149.55979601160095
2020-08-14,1447,149.55979601160095
2020-08-15,1447,149.55979601160095
2020-08-16,1447,149.55979601160095
2020-08-17,1447,149.55979601160095
2020-08-18,1448,149.66315454374444
2020-08-19,1448,149.66315454374444
2020-08-20,1448,149.66315454374444
2020-08-21,1449,149.7665130758879
2020-08-22,1449,149.7665130758879
2020-08-23,1449,149.7665130758879
2020-08-24,1449,149.7665130758879
2020-08-25,1449,149.7665130758879
2020-08-26,1449,149.7665130758879
2020-08-27,1449,149.7665130758879
2020-08-28,1450,149.86987160803136
2020-08-29,1450,149.86987160803136
2020-08-30,1451,149.97323014017485
2020-08-31,1451,149.97323014017485
2020-09-01,1452,150.0765886723183
2020-09-02,1452,150.0765886723183
2020-09-03,1452,150.0765886723183
2020-09-04,1452,150.0765886723183
2020-09-05,1452,150.0765886723183
2020-09-06,1452,150.0765886723183
2020-09-07,1452,150.0765886723183
2020-09-08,1452,150.0765886723183
2020-09-09,1452,150.0765886723183
2020-09-10,1452,150.0765886723183
2020-09-11,1452,150.0765886723183
2020-09-12,1452,150.0765886723183
2020-09-13,1452,150.0765886723183
2020-09-14,1452,150.0765886723183
2020-09-15,1452,150.0765886723183
2020-09-16,1452,150.0765886723183
2020-09-17,1452,150.0765886723183
2020-09-18,1454,150.28330573660526
2020-09-19,1454,150.28330573660526
2020-09-20,1454,150.28330573660526
2020-09-21,1454,150.28330573660526
