dates,I,deaths_by_pop
UID,84036081,
iso2,US,
iso3,USA,
code3,840,
FIPS,36081.0,
Admin2,Queens,
Province_State,New York,
Country_Region,US,
Lat,40.71088124,
Long_,-73.81684712,
Combined_Key,"Queens, New York, US",
Population,2253858,
2020-06-21,7012,311.1109927954645
2020-06-22,7020,311.4659397353338
2020-06-23,7025,311.68778157275216
2020-06-24,7033,312.04272851262147
2020-06-25,7037,312.22020198255615
2020-06-26,7042,312.44204381997446
2020-06-27,7050,312.79699075984377
2020-06-28,7058,313.15193769971313
2020-06-29,7065,313.46251627209875
2020-06-30,7065,313.46251627209875
2020-07-01,7068,313.59562137454975
2020-07-02,7074,313.86183157945175
2020-07-03,7081,314.1724101518374
2020-07-04,7085,314.3498836217721
2020-07-05,7087,314.4386203567394
2020-07-06,7091,314.6160938266741
2020-07-07,7095,314.7935672966087
2020-07-08,7100,315.0154091340271
2020-07-09,7103,315.1485142364781
2020-07-10,7104,315.1928826039617
2020-07-11,7109,315.4147244413801
2020-07-12,7113,315.5921979113147
2020-07-13,7118,315.8140397487331
2020-07-14,7121,315.9471448511841
2020-07-15,7129,316.3020917910534
2020-07-16,7132,316.4351968935044
2020-07-17,7140,316.7901438333737
2020-07-18,7142,316.87888056834106
2020-07-19,7142,316.87888056834106
2020-07-20,7145,317.01198567079206
2020-07-21,7150,317.23382750821037
2020-07-22,7153,317.36693261066137
2020-07-23,7156,317.50003771311236
2020-07-24,7157,317.54440608059605
2020-07-25,7160,317.67751118304705
2020-07-26,7162,317.76624791801436
2020-07-27,7163,317.81061628549804
2020-07-28,7167,317.98808975543267
2020-07-29,7168,318.03245812291635
2020-07-30,7169,318.07682649040004
2020-07-31,7169,318.07682649040004
2020-08-01,7170,318.12119485788367
2020-08-02,7172,318.20993159285104
2020-08-03,7173,318.25429996033466
2020-08-04,7175,318.34303669530203
2020-08-05,7178,318.47614179775303
2020-08-06,7179,318.52051016523666
2020-08-07,7182,318.65361526768766
2020-08-08,7183,318.69798363517134
2020-08-09,7185,318.78672037013865
2020-08-10,7187,318.875457105106
2020-08-11,7189,318.96419384007334
2020-08-12,7189,318.96419384007334
2020-08-13,7191,319.05293057504065
2020-08-14,7191,319.05293057504065
2020-08-15,7192,319.09729894252433
2020-08-16,7195,319.23040404497533
2020-08-17,7196,319.274772412459
2020-08-18,7196,319.274772412459
2020-08-19,7197,319.31914077994264
2020-08-20,7196,319.274772412459
2020-08-21,7198,319.3635091474263
2020-08-22,7199,319.40787751491
2020-08-23,7203,319.58535098484464
2020-08-24,7201,319.4966142498773
2020-08-25,7201,319.4966142498773
2020-08-26,7203,319.58535098484464
2020-08-27,7202,319.540982617361
2020-08-28,7201,319.4966142498773
2020-08-29,7201,319.4966142498773
2020-08-30,7204,319.6297193523283
2020-08-31,7222,320.4283499670343
2020-09-01,7224,320.5170867020016
2020-09-02,7228,320.6945601719363
2020-09-03,7230,320.7832969069036
2020-09-04,7231,320.8276652743873
2020-09-05,7234,320.9607703768383
2020-09-06,7234,320.9607703768383
2020-09-07,7234,320.9607703768383
